,id,name,text,len,processed,title1
0,41971,1DUltrasoundMuscleContractionData,this collection includes    data sets of one dimensional ultrasound raw rf data  a scans  acquired from the calf muscles of   healthy volunteers  the subjects were asked to manually annotate the data to allow for muscle contraction classification tasks  each line of the arff file contains an a scan consisting of      amplitude values  an annotation  whether this a scan belongs to a contracted muscle     or not       the id of the subject and the id of the data set   dultrasoundmusclecontractiondata 1DUltrasoundMuscleContractionData,33,"['1DUltrasoundMuscleContractionData', 'collection', 'calf', 'muscle', 'volunteer', 'subject', 'muscle', 'contraction', 'line', 'consisting', 'annotation', 'scan', 'muscle', 'subject']",['1DUltrasoundMuscleContractionData']
1,40517,20_newsgroups.drift,automated file upload of    newsgroups drift    newsgroups drift 20_newsgroups.drift,19,"['20_newsgroups.drift', 'upload', 'drift', 'drift']",['20_newsgroups.drift']
2,215,2dplanes, this is an artificial data set described in breiman et al        p         with variance   instead of          generate the values of the    attributes independently  using the following probabilities    p x           p x               p x m         p x m        p x m             m            obtain the value of the target variable y using the rule    if x       set y        x      x     x     sigma       if x        set y         x      x     x     sigma        characteristics        cases     continuous attributes  source  collection of regression datasets by luis torgo  ltorgo ncc up pt  at    original source  breiman et al         p        dplanes 2dplanes,8,"['2dplanes', 'variance', 'probability', 'rule', 'characteristic', 'case', 'collection', 'dplane']",['2dplanes']
3,41138,APSFailure,this is the dataset used for the      ida industrial challenge  courtesy of scania   for a full description  see     this dataset contains both the train and test set provided   the first       samples are the train set  and the last       samples are  the test set     data was published under the gnu gpl v  license  apsfailure APSFailure,10,"['APSFailure', 'challenge', 'courtesy', 'license', 'apsfailure', 'apsfailure']",['APSFailure']
4,1145,AP_Breast_Colon, gemler provides a collection of gene expression datasets that can be used for benchmarking gene expression oriented machine learning algorithms  they can be used for estimation of different quality metrics  e g  accuracy  precision  area under roc curve  etc   for classification  feature selection or clustering algorithms   this repository was inspired by an increasing need in machine learning   bioinformatics communities for a collection of microarray classification problems that could be used by different researches  this way many different classification or feature selection techniques can finally be compared to eachother on the same set of problems   origin of data  each gene expression sample in gemler repository comes from a large publicly available expo  expression project for oncology  repository by international genomics consortium   the goal of expo and its consortium supporters is to procure tissue samples under standard conditions and perform gene expression analyses on a clinically annotated set of deidentified tumor samples  the tumor data is updated with clinical outcomes and is released into the public domain without intellectual property restriction  the availability of this information translates into direct benefits for patients  researchers and pharma alike   source  expo website although there are various other sources of gene expression data available  a decision to use data from expo repository was made because of    consistency of tissue samples processing procedure   same microarray platform used for all samples   availability of additional information for combined genotype phenotype studies   availability of a large number of samples for different tumor types  in case of publishing material based on gemler datasets  then  please note the assistance you received by using this repository  this will help others to obtain the same datasets and replicate your experiments  please cite as follows when referring to this repository   stiglic  g     kokol  p          stability of ranked gene lists in large microarray analysis studies  journal of biomedicine biotechnology                 you are also welcome to acknowledge the contribution of expo  expression project for oncology  and international genomics consortium for providing their gene expression samples to the public  ap breast colon AP_Breast_Colon,15,"['AP_Breast_Colon', 'collection', 'gene', 'expression', 'gene', 'expression', 'machine', 'estimation', 'quality', 'metric_accuracy', 'area', 'curve', 'selection', 'algorithm', 'repository', 'need', 'machine', 'bioinformatic_community', 'collection', 'research', 'way', 'selection', 'technique_origin', 'gene', 'expression', 'gemler', 'repository', 'expo', 'expression', 'oncology', 'repository', 'goal', 'expo', 'consortium_supporter', 'procure_tissue', 'condition', 'gene', 'expression', 'analysis', 'tumor', 'tumor', 'outcome', 'domain', 'property_restriction', 'availability_benefit', 'patient', 'researcher_pharma', 'expo', 'website', 'gene', 'expression', 'decision', 'expo', 'repository', 'consistency_tissue', 'procedure_microarray', 'platform', 'availability_phenotype', 'availability', 'tumor', 'case', 'material_gemler', 'assistance', 'repository', 'kokol_stability', 'gene', 'list', 'analysis', 'contribution', 'expo', 'expression', 'oncology', 'gene', 'expression', 'public', 'colon']",['AP_Breast_Colon']
5,1158,AP_Breast_Kidney, gemler provides a collection of gene expression datasets that can be used for benchmarking gene expression oriented machine learning algorithms  they can be used for estimation of different quality metrics  e g  accuracy  precision  area under roc curve  etc   for classification  feature selection or clustering algorithms   this repository was inspired by an increasing need in machine learning   bioinformatics communities for a collection of microarray classification problems that could be used by different researches  this way many different classification or feature selection techniques can finally be compared to eachother on the same set of problems   origin of data  each gene expression sample in gemler repository comes from a large publicly available expo  expression project for oncology  repository by international genomics consortium   the goal of expo and its consortium supporters is to procure tissue samples under standard conditions and perform gene expression analyses on a clinically annotated set of deidentified tumor samples  the tumor data is updated with clinical outcomes and is released into the public domain without intellectual property restriction  the availability of this information translates into direct benefits for patients  researchers and pharma alike   source  expo website although there are various other sources of gene expression data available  a decision to use data from expo repository was made because of    consistency of tissue samples processing procedure   same microarray platform used for all samples   availability of additional information for combined genotype phenotype studies   availability of a large number of samples for different tumor types  in case of publishing material based on gemler datasets  then  please note the assistance you received by using this repository  this will help others to obtain the same datasets and replicate your experiments  please cite as follows when referring to this repository   stiglic  g     kokol  p          stability of ranked gene lists in large microarray analysis studies  journal of biomedicine biotechnology                 you are also welcome to acknowledge the contribution of expo  expression project for oncology  and international genomics consortium for providing their gene expression samples to the public  ap breast kidney AP_Breast_Kidney,16,"['AP_Breast_Kidney', 'collection', 'gene', 'expression', 'gene', 'expression', 'machine', 'estimation', 'quality', 'metric_accuracy', 'area', 'curve', 'selection', 'algorithm', 'repository', 'need', 'machine', 'bioinformatic_community', 'collection', 'research', 'way', 'selection', 'technique_origin', 'gene', 'expression', 'gemler', 'repository', 'expo', 'expression', 'oncology', 'repository', 'goal', 'expo', 'consortium_supporter', 'procure_tissue', 'condition', 'gene', 'expression', 'analysis', 'tumor', 'tumor', 'outcome', 'domain', 'property_restriction', 'availability_benefit', 'patient', 'researcher_pharma', 'expo', 'website', 'gene', 'expression', 'decision', 'expo', 'repository', 'consistency_tissue', 'procedure_microarray', 'platform', 'availability_phenotype', 'availability', 'tumor', 'case', 'material_gemler', 'assistance', 'repository', 'kokol_stability', 'gene', 'list', 'analysis', 'contribution', 'expo', 'expression', 'oncology', 'gene', 'expression', 'public', 'kidney']",['AP_Breast_Kidney']
6,1150,AP_Breast_Lung, gemler provides a collection of gene expression datasets that can be used for benchmarking gene expression oriented machine learning algorithms  they can be used for estimation of different quality metrics  e g  accuracy  precision  area under roc curve  etc   for classification  feature selection or clustering algorithms   this repository was inspired by an increasing need in machine learning   bioinformatics communities for a collection of microarray classification problems that could be used by different researches  this way many different classification or feature selection techniques can finally be compared to eachother on the same set of problems   origin of data  each gene expression sample in gemler repository comes from a large publicly available expo  expression project for oncology  repository by international genomics consortium   the goal of expo and its consortium supporters is to procure tissue samples under standard conditions and perform gene expression analyses on a clinically annotated set of deidentified tumor samples  the tumor data is updated with clinical outcomes and is released into the public domain without intellectual property restriction  the availability of this information translates into direct benefits for patients  researchers and pharma alike   source  expo website although there are various other sources of gene expression data available  a decision to use data from expo repository was made because of    consistency of tissue samples processing procedure   same microarray platform used for all samples   availability of additional information for combined genotype phenotype studies   availability of a large number of samples for different tumor types  in case of publishing material based on gemler datasets  then  please note the assistance you received by using this repository  this will help others to obtain the same datasets and replicate your experiments  please cite as follows when referring to this repository   stiglic  g     kokol  p          stability of ranked gene lists in large microarray analysis studies  journal of biomedicine biotechnology                 you are also welcome to acknowledge the contribution of expo  expression project for oncology  and international genomics consortium for providing their gene expression samples to the public  ap breast lung AP_Breast_Lung,14,"['AP_Breast_Lung', 'collection', 'gene', 'expression', 'gene', 'expression', 'machine', 'estimation', 'quality', 'metric_accuracy', 'area', 'curve', 'selection', 'algorithm', 'repository', 'need', 'machine', 'bioinformatic_community', 'collection', 'research', 'way', 'selection', 'technique_origin', 'gene', 'expression', 'gemler', 'repository', 'expo', 'expression', 'oncology', 'repository', 'goal', 'expo', 'consortium_supporter', 'procure_tissue', 'condition', 'gene', 'expression', 'analysis', 'tumor', 'tumor', 'outcome', 'domain', 'property_restriction', 'availability_benefit', 'patient', 'researcher_pharma', 'expo', 'website', 'gene', 'expression', 'decision', 'expo', 'repository', 'consistency_tissue', 'procedure_microarray', 'platform', 'availability_phenotype', 'availability', 'tumor', 'case', 'material_gemler', 'assistance', 'repository', 'kokol_stability', 'gene', 'list', 'analysis', 'contribution', 'expo', 'expression', 'oncology', 'gene', 'expression', 'public', 'lung']",['AP_Breast_Lung']
7,1127,AP_Breast_Omentum, gemler provides a collection of gene expression datasets that can be used for benchmarking gene expression oriented machine learning algorithms  they can be used for estimation of different quality metrics  e g  accuracy  precision  area under roc curve  etc   for classification  feature selection or clustering algorithms   this repository was inspired by an increasing need in machine learning   bioinformatics communities for a collection of microarray classification problems that could be used by different researches  this way many different classification or feature selection techniques can finally be compared to eachother on the same set of problems   origin of data  each gene expression sample in gemler repository comes from a large publicly available expo  expression project for oncology  repository by international genomics consortium   the goal of expo and its consortium supporters is to procure tissue samples under standard conditions and perform gene expression analyses on a clinically annotated set of deidentified tumor samples  the tumor data is updated with clinical outcomes and is released into the public domain without intellectual property restriction  the availability of this information translates into direct benefits for patients  researchers and pharma alike   source  expo website although there are various other sources of gene expression data available  a decision to use data from expo repository was made because of    consistency of tissue samples processing procedure   same microarray platform used for all samples   availability of additional information for combined genotype phenotype studies   availability of a large number of samples for different tumor types  in case of publishing material based on gemler datasets  then  please note the assistance you received by using this repository  this will help others to obtain the same datasets and replicate your experiments  please cite as follows when referring to this repository   stiglic  g     kokol  p          stability of ranked gene lists in large microarray analysis studies  journal of biomedicine biotechnology                 you are also welcome to acknowledge the contribution of expo  expression project for oncology  and international genomics consortium for providing their gene expression samples to the public  ap breast omentum AP_Breast_Omentum,17,"['AP_Breast_Omentum', 'collection', 'gene', 'expression', 'gene', 'expression', 'machine', 'estimation', 'quality', 'metric_accuracy', 'area', 'curve', 'selection', 'algorithm', 'repository', 'need', 'machine', 'bioinformatic_community', 'collection', 'research', 'way', 'selection', 'technique_origin', 'gene', 'expression', 'gemler', 'repository', 'expo', 'expression', 'oncology', 'repository', 'goal', 'expo', 'consortium_supporter', 'procure_tissue', 'condition', 'gene', 'expression', 'analysis', 'tumor', 'tumor', 'outcome', 'domain', 'property_restriction', 'availability_benefit', 'patient', 'researcher_pharma', 'expo', 'website', 'gene', 'expression', 'decision', 'expo', 'repository', 'consistency_tissue', 'procedure_microarray', 'platform', 'availability_phenotype', 'availability', 'tumor', 'case', 'material_gemler', 'assistance', 'repository', 'kokol_stability', 'gene', 'list', 'analysis', 'contribution', 'expo', 'expression', 'oncology', 'gene', 'expression', 'public', 'omentum']",['AP_Breast_Omentum']
8,1165,AP_Breast_Ovary, gemler provides a collection of gene expression datasets that can be used for benchmarking gene expression oriented machine learning algorithms  they can be used for estimation of different quality metrics  e g  accuracy  precision  area under roc curve  etc   for classification  feature selection or clustering algorithms   this repository was inspired by an increasing need in machine learning   bioinformatics communities for a collection of microarray classification problems that could be used by different researches  this way many different classification or feature selection techniques can finally be compared to eachother on the same set of problems   origin of data  each gene expression sample in gemler repository comes from a large publicly available expo  expression project for oncology  repository by international genomics consortium   the goal of expo and its consortium supporters is to procure tissue samples under standard conditions and perform gene expression analyses on a clinically annotated set of deidentified tumor samples  the tumor data is updated with clinical outcomes and is released into the public domain without intellectual property restriction  the availability of this information translates into direct benefits for patients  researchers and pharma alike   source  expo website although there are various other sources of gene expression data available  a decision to use data from expo repository was made because of    consistency of tissue samples processing procedure   same microarray platform used for all samples   availability of additional information for combined genotype phenotype studies   availability of a large number of samples for different tumor types  in case of publishing material based on gemler datasets  then  please note the assistance you received by using this repository  this will help others to obtain the same datasets and replicate your experiments  please cite as follows when referring to this repository   stiglic  g     kokol  p          stability of ranked gene lists in large microarray analysis studies  journal of biomedicine biotechnology                 you are also welcome to acknowledge the contribution of expo  expression project for oncology  and international genomics consortium for providing their gene expression samples to the public  ap breast ovary AP_Breast_Ovary,15,"['AP_Breast_Ovary', 'collection', 'gene', 'expression', 'gene', 'expression', 'machine', 'estimation', 'quality', 'metric_accuracy', 'area', 'curve', 'selection', 'algorithm', 'repository', 'need', 'machine', 'bioinformatic_community', 'collection', 'research', 'way', 'selection', 'technique_origin', 'gene', 'expression', 'gemler', 'repository', 'expo', 'expression', 'oncology', 'repository', 'goal', 'expo', 'consortium_supporter', 'procure_tissue', 'condition', 'gene', 'expression', 'analysis', 'tumor', 'tumor', 'outcome', 'domain', 'property_restriction', 'availability_benefit', 'patient', 'researcher_pharma', 'expo', 'website', 'gene', 'expression', 'decision', 'expo', 'repository', 'consistency_tissue', 'procedure_microarray', 'platform', 'availability_phenotype', 'availability', 'tumor', 'case', 'material_gemler', 'assistance', 'repository', 'kokol_stability', 'gene', 'list', 'analysis', 'contribution', 'expo', 'expression', 'oncology', 'gene', 'expression', 'public']",['AP_Breast_Ovary']
9,1122,AP_Breast_Prostate, gemler provides a collection of gene expression datasets that can be used for benchmarking gene expression oriented machine learning algorithms  they can be used for estimation of different quality metrics  e g  accuracy  precision  area under roc curve  etc   for classification  feature selection or clustering algorithms   this repository was inspired by an increasing need in machine learning   bioinformatics communities for a collection of microarray classification problems that could be used by different researches  this way many different classification or feature selection techniques can finally be compared to eachother on the same set of problems   origin of data  each gene expression sample in gemler repository comes from a large publicly available expo  expression project for oncology  repository by international genomics consortium   the goal of expo and its consortium supporters is to procure tissue samples under standard conditions and perform gene expression analyses on a clinically annotated set of deidentified tumor samples  the tumor data is updated with clinical outcomes and is released into the public domain without intellectual property restriction  the availability of this information translates into direct benefits for patients  researchers and pharma alike   source  expo website although there are various other sources of gene expression data available  a decision to use data from expo repository was made because of    consistency of tissue samples processing procedure   same microarray platform used for all samples   availability of additional information for combined genotype phenotype studies   availability of a large number of samples for different tumor types  in case of publishing material based on gemler datasets  then  please note the assistance you received by using this repository  this will help others to obtain the same datasets and replicate your experiments  please cite as follows when referring to this repository   stiglic  g     kokol  p          stability of ranked gene lists in large microarray analysis studies  journal of biomedicine biotechnology                 you are also welcome to acknowledge the contribution of expo  expression project for oncology  and international genomics consortium for providing their gene expression samples to the public  ap breast prostate AP_Breast_Prostate,18,"['AP_Breast_Prostate', 'collection', 'gene', 'expression', 'gene', 'expression', 'machine', 'estimation', 'quality', 'metric_accuracy', 'area', 'curve', 'selection', 'algorithm', 'repository', 'need', 'machine', 'bioinformatic_community', 'collection', 'research', 'way', 'selection', 'technique_origin', 'gene', 'expression', 'gemler', 'repository', 'expo', 'expression', 'oncology', 'repository', 'goal', 'expo', 'consortium_supporter', 'procure_tissue', 'condition', 'gene', 'expression', 'analysis', 'tumor', 'tumor', 'outcome', 'domain', 'property_restriction', 'availability_benefit', 'patient', 'researcher_pharma', 'expo', 'website', 'gene', 'expression', 'decision', 'expo', 'repository', 'consistency_tissue', 'procedure_microarray', 'platform', 'availability_phenotype', 'availability', 'tumor', 'case', 'material_gemler', 'assistance', 'repository', 'kokol_stability', 'gene', 'list', 'analysis', 'contribution', 'expo', 'expression', 'oncology', 'gene', 'expression', 'public', 'prostate']",['AP_Breast_Prostate']
