alpha,beta,coherence,topics,perplexity
0.01,0.01,0.4972566571327583,5,-15.876073057515974
0.01,0.31,0.44539200931662826,5,-6.519047996182936
0.01,0.61,0.4731273936702035,5,-6.596461543965304
0.01,0.9099999999999999,0.593616721111465,5,-6.7966327185854265
0.01,symmetric,0.524541171220949,5,-6.589970205352399
0.31,0.01,0.4595776841492185,5,-15.641761406123129
0.31,0.31,0.4342132553751535,5,-6.451639801194934
0.31,0.61,0.5166877283831379,5,-6.612275886878643
0.31,0.9099999999999999,0.5534370013540187,5,-6.749600658687841
0.31,symmetric,0.5911332670835112,5,-6.638493944301268
0.61,0.01,0.46754464582302424,5,-15.65924112653213
0.61,0.31,0.5367868784903657,5,-6.545292590203477
0.61,0.61,0.5233632584998081,5,-6.648619871702788
0.61,0.9099999999999999,0.4623831862593355,5,-6.706301489055005
0.61,symmetric,0.5189262128643902,5,-6.511187954889948
0.9099999999999999,0.01,0.5371179187754223,5,-15.673743134164317
0.9099999999999999,0.31,0.481634667393109,5,-6.534413078605701
0.9099999999999999,0.61,0.4671100607591992,5,-6.647264598350716
0.9099999999999999,0.9099999999999999,0.4641673586522955,5,-6.754388183355331
0.9099999999999999,symmetric,0.5449702483771601,5,-6.553091090057163
symmetric,0.01,0.4637583498923471,5,-15.696010147077361
symmetric,0.31,0.45327769477574054,5,-6.4146887162552835
symmetric,0.61,0.4463295659892589,5,-6.568251203099252
symmetric,0.9099999999999999,0.5068065283963707,5,-6.699690606024716
symmetric,symmetric,0.5471410627078205,5,-6.534068407249497
asymmetric,0.01,0.5931178424616066,5,-15.758456467843756
asymmetric,0.31,0.5293396187422565,5,-6.4759194283073045
asymmetric,0.61,0.5385400867460245,5,-6.628379145158942
asymmetric,0.9099999999999999,0.5365800534319283,5,-6.712797386978593
asymmetric,symmetric,0.6696068275258465,5,-6.659730285398983
0.01,0.01,0.5119883536964571,6,-15.83632005458327
0.01,0.31,0.518447806280571,6,-6.66387360303499
0.01,0.61,0.48628878671298814,6,-6.653257802926884
0.01,0.9099999999999999,0.48076299263954675,6,-6.733033165729105
0.01,symmetric,0.4902051030613974,6,-6.715439872923392
0.31,0.01,0.546733942792489,6,-15.622330856551908
0.31,0.31,0.5420769271872362,6,-6.551199546615439
0.31,0.61,0.5389253616464954,6,-6.573042289472932
0.31,0.9099999999999999,0.5119561601464588,6,-6.705167112633954
0.31,symmetric,0.5417147187424602,6,-6.597156141202114
0.61,0.01,0.5410242917679999,6,-15.576595253266113
0.61,0.31,0.5683288400869299,6,-6.561505336664843
0.61,0.61,0.5330802277072147,6,-6.550229476906423
0.61,0.9099999999999999,0.5127059483105519,6,-6.710645875777952
0.61,symmetric,0.4882900824146985,6,-6.470968507614262
0.9099999999999999,0.01,0.5458992341412658,6,-15.621722092662159
0.9099999999999999,0.31,0.48906277496803474,6,-6.437972904852997
0.9099999999999999,0.61,0.47932179162446387,6,-6.60304708241416
0.9099999999999999,0.9099999999999999,0.5259041068180103,6,-6.684285229852417
0.9099999999999999,symmetric,0.49897272260374875,6,-6.457582827096128
symmetric,0.01,0.5286173052180706,6,-15.655234678459076
symmetric,0.31,0.4915206531694784,6,-6.3805503290195515
symmetric,0.61,0.4938808880328793,6,-6.61457451782609
symmetric,0.9099999999999999,0.4890019413647293,6,-6.627952477680592
symmetric,symmetric,0.5310583555612293,6,-6.576084120387415
asymmetric,0.01,0.5032463676281146,6,-15.766597173803293
asymmetric,0.31,0.5420754022260555,6,-6.521666897232686
asymmetric,0.61,0.48298558784570655,6,-6.630894365810978
asymmetric,0.9099999999999999,0.5460641050086478,6,-6.675438679966848
asymmetric,symmetric,0.5172533891968489,6,-6.514678988036494
0.01,0.01,0.5025660781127534,7,-15.711749802630885
0.01,0.31,0.6044015537816959,7,-6.580105161174671
0.01,0.61,0.4960983413972801,7,-6.5999722855541405
0.01,0.9099999999999999,0.4440879427475039,7,-6.835296047900086
0.01,symmetric,0.6749573034390244,7,-6.6884129305323015
0.31,0.01,0.510404053344501,7,-15.520558204673195
0.31,0.31,0.5166132933831874,7,-6.543148114715957
0.31,0.61,0.5292401051082166,7,-6.675288283256011
0.31,0.9099999999999999,0.4686891343862681,7,-6.737711838225941
0.31,symmetric,0.5082829562041492,7,-6.532029910556764
