alpha,beta,coherence,topics,perplexity
0.01,0.01,0.43056550229201157,4,-9.92938596481107
0.01,0.31,0.46467566951891315,4,-6.263920880686368
0.01,0.61,0.4261721240010681,4,-6.275893716832853
0.01,0.9099999999999999,0.5562500178367229,4,-6.285257657548536
0.01,symmetric,0.415909919685732,4,-6.241840574478708
0.31,0.01,0.3958792144585219,4,-9.843390061539862
0.31,0.31,0.4131258196059183,4,-6.3711892348046115
0.31,0.61,0.5162360355633048,4,-6.4151067916267
0.31,0.9099999999999999,0.4794991730318998,4,-6.217869513931662
0.31,symmetric,0.3944312354332487,4,-6.286010402908514
0.61,0.01,0.401705026457033,4,-9.821896212643878
0.61,0.31,0.4623969481401723,4,-6.418233150881218
0.61,0.61,0.44727010013908935,4,-6.2282634182730146
0.61,0.9099999999999999,0.4910449356282175,4,-6.496818022428907
0.61,symmetric,0.45164919035336093,4,-6.4053934474856495
0.9099999999999999,0.01,0.39181908827861506,4,-9.79748380876924
0.9099999999999999,0.31,0.3556082590445361,4,-6.2745008795943225
0.9099999999999999,0.61,0.47649394401298334,4,-6.4333006886524355
0.9099999999999999,0.9099999999999999,0.4658190106034047,4,-6.509080961694605
0.9099999999999999,symmetric,0.46969291595595336,4,-6.426419245952496
symmetric,0.01,0.5081965226005885,4,-9.88453726845271
symmetric,0.31,0.529374216427452,4,-6.358607029392146
symmetric,0.61,0.502605814997809,4,-6.155662002113476
symmetric,0.9099999999999999,0.4829895689956851,4,-6.211751959399134
symmetric,symmetric,0.548240890540387,4,-6.2516981799414255
asymmetric,0.01,0.4681189792270588,4,-9.805795855732894
asymmetric,0.31,0.5028640267058564,4,-6.343922055397301
asymmetric,0.61,0.4654896265525178,4,-6.332751018552052
asymmetric,0.9099999999999999,0.4664070272100841,4,-6.388362322331603
asymmetric,symmetric,0.32817075768789894,4,-6.1953824706279175
0.01,0.01,0.48564880860362625,5,-10.038125705184301
0.01,0.31,0.45137685762665597,5,-6.088770990276623
0.01,0.61,0.4499036255735307,5,-6.159155530898526
0.01,0.9099999999999999,0.45137685762665586,5,-6.221082244263089
0.01,symmetric,0.47985667147342725,5,-6.246732596588151
0.31,0.01,0.4731428384801045,5,-9.796853353805083
0.31,0.31,0.46200160997773876,5,-6.100954637217003
0.31,0.61,0.4677435008160299,5,-6.175876576765296
0.31,0.9099999999999999,0.4649127624580237,5,-6.244139576119244
0.31,symmetric,0.4428292036194752,5,-6.289730809482719
0.61,0.01,0.4521149638469435,5,-9.708460102710156
0.61,0.31,0.47543825238773163,5,-6.1859391399107935
0.61,0.61,0.3664073264524837,5,-6.276527899954427
0.61,0.9099999999999999,0.4650778431262417,5,-6.340138507530649
0.61,symmetric,0.41402223820260825,5,-6.103429669687486
0.9099999999999999,0.01,0.4457561054864085,5,-9.714595092229123
0.9099999999999999,0.31,0.4911237488634965,5,-6.325568237760976
0.9099999999999999,0.61,0.5349923046309761,5,-6.359176196269527
0.9099999999999999,0.9099999999999999,0.5085254093301055,5,-6.28899725738108
0.9099999999999999,symmetric,0.4470269266965269,5,-6.2940699789039405
symmetric,0.01,0.4668052835057675,5,-9.682544424035182
symmetric,0.31,0.46464864854154253,5,-6.091081094481196
symmetric,0.61,0.45390514469051346,5,-6.1633924720223625
symmetric,0.9099999999999999,0.458152824496932,5,-6.240774661642988
symmetric,symmetric,0.4709204931981339,5,-6.207794911256431
asymmetric,0.01,0.48319639508394996,5,-9.762588982060105
asymmetric,0.31,0.37509854397225467,5,-6.022625467254443
asymmetric,0.61,0.38387872594121697,5,-6.087197571436534
asymmetric,0.9099999999999999,0.49282792427541616,5,-6.315143842247003
asymmetric,symmetric,0.38327794758388706,5,-5.96993772344031
0.01,0.01,0.5004533076962482,6,-9.817154441222058
0.01,0.31,0.4531761234823321,6,-6.130002811717438
0.01,0.61,0.46662307590662583,6,-6.089883650489402
0.01,0.9099999999999999,0.4605694500404718,6,-6.173227000955058
0.01,symmetric,0.4688841403811133,6,-6.192494870385241
0.31,0.01,0.4613619631475072,6,-9.773934266216125
0.31,0.31,0.4698499343930673,6,-6.297975739245105
0.31,0.61,0.46692593709900043,6,-6.174973015609862
0.31,0.9099999999999999,0.46021111093525313,6,-6.256353669768944
0.31,symmetric,0.45509209755934216,6,-6.23092671113606
0.61,0.01,0.46725815466185394,6,-9.710890768995698
0.61,0.31,0.5171532837430514,6,-6.0902210534948695
0.61,0.61,0.48934456984402247,6,-6.3311603820701565
0.61,0.9099999999999999,0.4607524691565756,6,-6.2853415419042795
0.61,symmetric,0.47353453061514433,6,-6.170717362416193
0.9099999999999999,0.01,0.47995019285276413,6,-9.694147513163344
0.9099999999999999,0.31,0.479781805248164,6,-6.265488162744529
0.9099999999999999,0.61,0.4763842653370684,6,-6.234624092150749
0.9099999999999999,0.9099999999999999,0.49066549709501944,6,-6.344918476235718
0.9099999999999999,symmetric,0.4640465378495599,6,-6.197770383127606
symmetric,0.01,0.5946392305622769,6,-9.855183793750706
symmetric,0.31,0.4689817665860582,6,-6.129393909002423
symmetric,0.61,0.45574777042701836,6,-6.112947308339275
symmetric,0.9099999999999999,0.4663409381901045,6,-6.16097537182371
symmetric,symmetric,0.4757034575973855,6,-6.054845235708675
asymmetric,0.01,0.44412065527749567,6,-9.5811830632812
asymmetric,0.31,0.5109501204890848,6,-6.014096981691741
asymmetric,0.61,0.5327209584450298,6,-6.2863681082437175
asymmetric,0.9099999999999999,0.5148232399870176,6,-6.223707076866809
asymmetric,symmetric,0.49250528002493343,6,-6.00990131479047
0.01,0.01,0.5086161520566886,7,-10.007108845600436
0.01,0.31,0.4896799562781746,7,-6.167790875642681
0.01,0.61,0.49991621300061134,7,-6.229315775976052
0.01,0.9099999999999999,0.4593439556961577,7,-6.234509956767993
0.01,symmetric,0.4839577986458513,7,-6.347092646119723
0.31,0.01,0.5326788473078575,7,-9.937732856683077
0.31,0.31,0.5004890338503654,7,-6.073941018662596
0.31,0.61,0.4910699031699379,7,-6.153804199547459
0.31,0.9099999999999999,0.5882509542668519,7,-6.393920578046997
0.31,symmetric,0.5697302304909696,7,-6.237574630938434
0.61,0.01,0.5001219916865711,7,-9.642367923028605
0.61,0.31,0.5825366316675805,7,-6.061568460635709
0.61,0.61,0.546670702753198,7,-6.366251392356768
0.61,0.9099999999999999,0.5640589565171495,7,-6.382686723384332
0.61,symmetric,0.5646309096466445,7,-6.240754693130022
0.9099999999999999,0.01,0.4991845397862133,7,-9.65509896019891
0.9099999999999999,0.31,0.5414600601917604,7,-6.164437789074505
0.9099999999999999,0.61,0.5311670548890728,7,-6.22105215889694
0.9099999999999999,0.9099999999999999,0.5568823343307187,7,-6.398186819665798
0.9099999999999999,symmetric,0.5409331544789009,7,-6.000087886075073
symmetric,0.01,0.5122739378173832,7,-9.71956794867901
symmetric,0.31,0.4917912464509116,7,-6.115060207799729
symmetric,0.61,0.47954332833899044,7,-6.149701330767581
symmetric,0.9099999999999999,0.5773263333818447,7,-6.239541221592219
symmetric,symmetric,0.49052309314814707,7,-5.989448605602864
asymmetric,0.01,0.495543220678632,7,-9.801425129373806
asymmetric,0.31,0.4853174619010448,7,-6.161673635271039
asymmetric,0.61,0.5322790557773163,7,-6.122723991133188
asymmetric,0.9099999999999999,0.539628372670344,7,-6.213711393433424
asymmetric,symmetric,0.4934765000623104,7,-6.007866211250066
0.01,0.01,0.44714856878360837,8,-9.819540156782677
0.01,0.31,0.5057499332602551,8,-6.118219420654661
0.01,0.61,0.44995601913028493,8,-6.103835124337607
0.01,0.9099999999999999,0.45490846071385826,8,-6.177439523757171
0.01,symmetric,0.4808962335198624,8,-6.0201057210186795
0.31,0.01,0.524412154447633,8,-9.74508374205949
0.31,0.31,0.5140027157824338,8,-6.151793436972365
0.31,0.61,0.4675392252601895,8,-6.154279366836486
0.31,0.9099999999999999,0.5472890480363333,8,-6.333744016327295
0.31,symmetric,0.48763466365663233,8,-5.956504050748421
0.61,0.01,0.5284338763650829,8,-9.688841009041564
0.61,0.31,0.5079129756640361,8,-6.0721330133182185
0.61,0.61,0.5316601992258947,8,-6.141558569883394
0.61,0.9099999999999999,0.5696712695493749,8,-6.366485128130917
0.61,symmetric,0.5329436614231657,8,-6.000895569067498
0.9099999999999999,0.01,0.5336714205857671,8,-9.668174509717035
0.9099999999999999,0.31,0.518715966190045,8,-6.060423019827561
0.9099999999999999,0.61,0.5272957309708555,8,-6.174010859264676
0.9099999999999999,0.9099999999999999,0.5026050255521854,8,-6.217608031989691
0.9099999999999999,symmetric,0.5176559916404027,8,-6.006213554500807
symmetric,0.01,0.44385413884986413,8,-9.75099451223082
symmetric,0.31,0.4428509308705788,8,-6.0602254333804435
symmetric,0.61,0.4594910369621853,8,-6.091322194146811
