alpha,beta,coherence,topics,perplexity
0.01,0.01,0.5224568080830911,4,-22.10372758782856
0.01,0.31,0.5017411458648166,4,-5.240746408462792
0.01,0.61,0.4615152189509317,4,-5.248245188502989
0.01,0.9099999999999999,0.4680250841969491,4,-5.244643438952636
0.01,symmetric,0.4844557239262166,4,-5.220213096920162
0.31,0.01,0.5419794886503309,4,-21.99002007545063
0.31,0.31,0.45763550087184335,4,-5.237385067097632
0.31,0.61,0.4578441400491866,4,-5.265727276749634
0.31,0.9099999999999999,0.47368144148634483,4,-5.291459949739369
0.31,symmetric,0.45968631398102966,4,-5.24677927942384
0.61,0.01,0.5078933767458425,4,-22.001490473382468
0.61,0.31,0.4479742395493058,4,-5.280428676186257
0.61,0.61,0.44059834602995107,4,-5.358599734180168
0.61,0.9099999999999999,0.4640910994906174,4,-5.357782407267218
0.61,symmetric,0.5188785581560946,4,-5.296649069041628
0.9099999999999999,0.01,0.5527581670929761,4,-21.994524181430037
0.9099999999999999,0.31,0.5313931624369578,4,-5.310808979846148
0.9099999999999999,0.61,0.5142785655882012,4,-5.340998915179956
0.9099999999999999,0.9099999999999999,0.5082361026568666,4,-5.38418403628722
0.9099999999999999,symmetric,0.4902081581088808,4,-5.279095891207072
symmetric,0.01,0.6038542958242423,4,-22.02795655254692
symmetric,0.31,0.48824226715660735,4,-5.238672420569638
symmetric,0.61,0.4320746737544579,4,-5.292179825178249
symmetric,0.9099999999999999,0.45442498288988353,4,-5.285329656033679
symmetric,symmetric,0.4438185458422409,4,-5.234409226903388
asymmetric,0.01,0.4744653589092825,4,-21.270146546105032
asymmetric,0.31,0.4823543793212809,4,-5.258954949063883
asymmetric,0.61,0.470011970867547,4,-5.302763681038907
asymmetric,0.9099999999999999,0.4708204497924399,4,-5.328771139432531
asymmetric,symmetric,0.4756134193123301,4,-5.280508181986243
0.01,0.01,0.5719038225983799,5,-22.02022093130891
0.01,0.31,0.46261305100045413,5,-5.100953370301684
0.01,0.61,0.4445960675376764,5,-5.130382282775908
0.01,0.9099999999999999,0.4458631917754429,5,-5.194142332938266
0.01,symmetric,0.5121475719935807,5,-5.1068178946023846
0.31,0.01,0.5518817102163336,5,-21.992953130534485
0.31,0.31,0.5040313733083883,5,-5.148899819613928
0.31,0.61,0.4794973542480214,5,-5.1989340515372975
0.31,0.9099999999999999,0.4520153132853729,5,-5.205897299732817
0.31,symmetric,0.47368698712304613,5,-5.192976961181353
0.61,0.01,0.5080909625969474,5,-21.950832322439094
0.61,0.31,0.4612854421563167,5,-5.157782019892713
0.61,0.61,0.49573346823320463,5,-5.195005734251787
0.61,0.9099999999999999,0.5244912537229576,5,-5.318498652739481
0.61,symmetric,0.46174934063900597,5,-5.2680890483073535
0.9099999999999999,0.01,0.49854133339649814,5,-21.262912873203764
0.9099999999999999,0.31,0.45038372913792746,5,-5.292121025550572
0.9099999999999999,0.61,0.509357897060072,5,-5.2740306101964105
0.9099999999999999,0.9099999999999999,0.5109978697310367,5,-5.319899815100525
0.9099999999999999,symmetric,0.5572841058427797,5,-5.215040077165769
symmetric,0.01,0.5713454062565144,5,-21.966541667954836
symmetric,0.31,0.4592419934960167,5,-5.128052900830295
symmetric,0.61,0.4768420463803432,5,-5.169680808042267
symmetric,0.9099999999999999,0.46518769613638555,5,-5.216802193526816
symmetric,symmetric,0.4597675863537014,5,-5.2024015464532845
asymmetric,0.01,0.563119385749163,5,-21.967345265845676
asymmetric,0.31,0.418395949077234,5,-5.132295879212589
asymmetric,0.61,0.45473613038600824,5,-5.167306278679626
asymmetric,0.9099999999999999,0.4628805783722404,5,-5.184144394916565
asymmetric,symmetric,0.5505833468304615,5,-5.1755653682935625
0.01,0.01,0.5101758295719859,6,-21.971212236122184
0.01,0.31,0.5787700210039003,6,-5.173213474465632
0.01,0.61,0.4578462517828028,6,-5.1398392815824545
0.01,0.9099999999999999,0.5210316760809446,6,-5.121006910483655
0.01,symmetric,0.44157679799151334,6,-5.136193792957744
0.31,0.01,0.5345407648285111,6,-21.95494940210408
0.31,0.31,0.47933749366840767,6,-5.092805578579091
0.31,0.61,0.4877890930070035,6,-5.169343039899967
0.31,0.9099999999999999,0.5000019552298846,6,-5.184146525101788
0.31,symmetric,0.4423117409930873,6,-5.143408253702117
0.61,0.01,0.5407853746298082,6,-21.821886228220514
0.61,0.31,0.4983459147616475,6,-5.2001128877670055
0.61,0.61,0.5071244401740248,6,-5.178325316016989
0.61,0.9099999999999999,0.5191534425925856,6,-5.250277115305726
0.61,symmetric,0.4940000616710149,6,-5.164795594324842
0.9099999999999999,0.01,0.5312737430935224,6,-21.846427840093675
0.9099999999999999,0.31,0.4912814072797525,6,-5.247972029105596
0.9099999999999999,0.61,0.46018221968389966,6,-5.232308703999051
0.9099999999999999,0.9099999999999999,0.5171040222992752,6,-5.30406847790257
0.9099999999999999,symmetric,0.5139592082715843,6,-5.221527423337265
symmetric,0.01,0.5245657836450248,6,-21.955898524248614
symmetric,0.31,0.49242407758182427,6,-5.108524632481202
symmetric,0.61,0.4793912378343033,6,-5.144912826342471
symmetric,0.9099999999999999,0.5250176800468852,6,-5.177547288300347
symmetric,symmetric,0.518762545522497,6,-5.166050978066671
asymmetric,0.01,0.5106255382217992,6,-21.971513455907246
asymmetric,0.31,0.4892371551906663,6,-5.065452939079523
asymmetric,0.61,0.5044532999068964,6,-5.1406230502676955
asymmetric,0.9099999999999999,0.42557405828541167,6,-5.147463286651492
asymmetric,symmetric,0.42842352042269044,6,-5.078937549718703
0.01,0.01,0.5394810611133931,7,-21.939513316611844
0.01,0.31,0.499500255301433,7,-5.018761864215267
0.01,0.61,0.5296331181618038,7,-5.014607584589431
0.01,0.9099999999999999,0.47877708347822473,7,-5.100417790267395
0.01,symmetric,0.4889702829106099,7,-5.196430882300099
0.31,0.01,0.4893079757446248,7,-21.91843086764796
0.31,0.31,0.5053070983858711,7,-5.117642194989242
0.31,0.61,0.5532699736646097,7,-5.100768990442677
0.31,0.9099999999999999,0.47856994222922333,7,-5.208897820275513
0.31,symmetric,0.44282892131965795,7,-5.096475511958539
0.61,0.01,0.5050000338983814,7,-21.808799359094568
0.61,0.31,0.5533846020636405,7,-5.10863979334591
0.61,0.61,0.48098469672204824,7,-5.176564003742782
0.61,0.9099999999999999,0.4995832980655687,7,-5.262805737937354
0.61,symmetric,0.5437466355821445,7,-5.091322973629617
0.9099999999999999,0.01,0.5162616535751331,7,-21.83259486610714
0.9099999999999999,0.31,0.4773837907252202,7,-5.240092453428649
0.9099999999999999,0.61,0.5229352545716724,7,-5.269703089358411
0.9099999999999999,0.9099999999999999,0.5254394347519177,7,-5.2755378241130995
0.9099999999999999,symmetric,0.5180586027554809,7,-5.160008808106997
symmetric,0.01,0.5596873783257944,7,-21.92753719396979
symmetric,0.31,0.46511155929449144,7,-5.1211159239329
symmetric,0.61,0.5041974893139469,7,-5.1325387074704745
symmetric,0.9099999999999999,0.43722156588015076,7,-5.169743109428521
symmetric,symmetric,0.4204888841220174,7,-5.198664077812495
asymmetric,0.01,0.5244658932706049,7,-21.899526412693852
asymmetric,0.31,0.5052752867301068,7,-5.050976124038084
asymmetric,0.61,0.47578585684888397,7,-5.101092718727727
asymmetric,0.9099999999999999,0.48432892189594046,7,-5.1647349621306375
asymmetric,symmetric,0.4724717574320831,7,-5.117382533100031
